,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Predictions of TASK
392,#coronavirus #pandemic #2020 #GAOMG #culvercity #losangeles #hollywood #california @tinaeatsdrinks #c4jforever #greatestauthorofmygeneration #authorsofinstagram #writersofinstagram #amazon #Galbraith #scotland\xe2\x80\xa6 https://t.co/lMF7iAj8yS,"[('coronaviru', 'NN'), ('pandem', 'NN'), ('gaomg', 'NN'), ('culverc', 'NN'), ('losangel', 'VBD'), ('hollywood', 'NN'), ('california', 'NN'), ('tinaeatsdrink', 'VBP'), ('jforev', 'NN'), ('greatestauthorofmygener', 'NN'), ('authorsofinstagram', 'JJ'), ('writersofinstagram', 'NN'), ('amazon', 'NN'), ('galbraith', 'NN'), ('scotland', 'NN'), ('http', 'NN')]",coronaviru pandem gaomg culverc losangel hollywood california tinaeatsdrink jforev greatestauthorofmygener authorsofinstagram writersofinstagram amazon galbraith scotland http,2
393,@YoYo_Ma presents: In Memoriam of Us. @YouTube @ytcreators @SFSymphony @LAPhil @mtilsonthomas @GustavoDudamel\xe2\x80\xa6 https://t.co/ujcgjsh5V0,"[('yoyo', 'JJ'), ('present', 'JJ'), ('memoriam', 'NN'), ('youtub', 'NN'), ('ytcreator', 'NN'), ('sfsymphoni', 'NN'), ('laphil', 'NN'), ('mtilsonthoma', 'NN'), ('gustavodudamel', 'NN'), ('http', 'NN'), ('ujcgjsh', 'NN')]",yoyo present memoriam youtub ytcreator sfsymphoni laphil mtilsonthoma gustavodudamel http ujcgjsh,1
394,\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa9\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa\xf0\x9f\x87\xa6\xf0\x9f\x87\xab\xf0\x9f\x87\xa6\xf0\x9f\x87\xac\xf0\x9f\x87\xa6\xf0\x9f\x87\xae\xf0\x9f\x87\xa6\xf0\x9f\x87\xb1\xf0\x9f\x87\xa6\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\xf0\x9f\x87\xb4\xf0\x9f\x87\xa6\xf0\x9f\x87\xb6\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb9\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xbc\xf0\x9f\x87\xa6\xf0\x9f\x87\xbd\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa7\xf0\x9f\x87\xa6\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa9\xf0\x9f\x87\xa7\xf0\x9f\x87\xaa\xf0\x9f\x87\xa7\xf0\x9f\x87\xab\xf0\x9f\x87\xa7\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xad\xf0\x9f\x87\xa7\xf0\x9f\x87\xae\xf0\x9f\x87\xa7\xf0\x9f\x87\xaf\xf0\x9f\x87\xa7\xf0\x9f\x87\xb1\xf0\x9f\x87\xa7\xf0\x9f\x87\xb2\xf0\x9f\x87\xa7\xf0\x9f\x87\xb3\xf0\x9f\x87\xa7\xf0\x9f\x87\xb4\xf0\x9f\x87\xa7\xf0\x9f\x87\xb6\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x87\xa7\xf0\x9f\x87\xb8\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xbc\xf0\x9f\x87\xa7\xf0\x9f\x87\xbe\xf0\x9f\x87\xa7\xf0\x9f\x87\xbf\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa8\xf0\x9f\x87\xa8\xf0\x9f\x87\xa9\xf0\x9f\x87\xa8\xf0\x9f\x87\xab\xf0\x9f\x87\xa8\xf0\x9f\x87\xac\xf0\x9f\x87\xa8\xf0\x9f\x87\xad\xf0\x9f\x87\xa8\xf0\x9f\x87\xae\xf0\x9f\x87\xa8\xf0\x9f\x87\xb0\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb4\xf0\x9f\x87\xa8\xf0\x9f\x87\xb7\xf0\x9f\x87\xa8\xf0\x9f\x87\xba\xf0\x9f\x87\xa8\xf0\x9f\x87\xbb\xf0\x9f\x87\xa8\xf0\x9f\x87\xbc\xf0\x9f\x87\xa8\xf0\x9f\x87\xbd\xf0\x9f\x87\xa8\xf0\x9f\x87\xbe\xf0\x9f\x87\xa8\xf0\x9f\x87\xbf\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa\xf0\x9f\x87\xa9\xf0\x9f\x87\xaf\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xf0\x9f\x87\xa9\xf0\x9f\x87\xb2\xf0\x9f\x87\xa9\xf0\x9f\x87\xb4\xf0\x9f\x87\xa9\xf0\x9f\x87\xbf\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x87\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xaa\xf0\x9f\x87\xad\xf0\x9f\x87\xaa\xf0\x9f\x87\xb7\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa\xf0\x9f\x87\xb9\xf0\x9f\x87\xaa\xf0\x9f\x87\xba\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xaf\xf0\x9f\x87\xab\xf0\x9f\x87\xb0\xf0\x9f\x87\xab\xf0\x9f\x87\xb2\xf0\x9f\x87\xab\xf0\x9f\x87\xb4\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x87\xac\xf0\x9f\x87\xa6\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xac\xf0\x9f\x87\xa9\xf0\x9f\x87\xac\xf0\x9f\x87\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xab\xf0\x9f\x87\xac\xf0\x9f\x87\xac\xf0\x9f\x87\xac\xf0\x9f\x87\xad\xf0\x9f\x87\xac\xf0\x9f\x87\xae\xf0\x9f\x87\xac\xf0\x9f\x87\xb1\xf0\x9f\x87\xac\xf0\x9f\x87\xb2\xf0\x9f\x87\xac\xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xb5\xf0\x9f\x87\xac\xf0\x9f\x87\xb6\xf0\x9f\x87\xac\xf0\x9f\x87\xb7\xf0\x9f\x87\xac\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xb9\xf0\x9f\x87\xac\xf0\x9f\x87\xba\xf0\x9f\x87\xac\xf0\x9f\x87\xbc\xf0\x9f\x87\xac\xf0\x9f\x87\xbe\xf0\x9f\x87\xad\xf0\x9f\x87\xb0\xf0\x9f\x87\xad\xf0\x9f\x87\xb2\xf0\x9f\x87\xad\xf0\x9f\x87\xb3\xf0\x9f\x87\xad\xf0\x9f\x87\xb7\xf0\x9f\x87\xad\xf0\x9f\x87\xb9\xf0\x9f\x87\xad\xf0\x9f\x87\xba\xf0\x9f\x87\xae\xf0\x9f\x87\xa8\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xaa\xf0\x9f\x87\xae\xf0\x9f\x87\xb1\xf0\x9f\x87\xae\xf0\x9f\x87\xb2\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb4\xf0\x9f\x87\xae\xf0\x9f\x87\xb6\xf0\x9f\x87\xae\xf0\x9f\x87\xb7\xf0\x9f\x87\xae\xf0\x9f\x87\xb8\xf0\x9f\x87\xae\xf0\x9f\x87\xb9\xf0\x9f\x87\xaf\xf0\x9f\x87\xaa\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb4\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xac\xf0\x9f\x87\xb0\xf0\x9f\x87\xad\xf0\x9f\x87\xb0\xf0\x9f\x87\xae\xf0\x9f\x87\xb0\xf0\x9f\x87\xb2\xf0\x9f\x87\xb0\xf0\x9f\x87\xb3\xf0\x9f\x87\xb0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\xf0\x9f\x87\xb7\xf0\x9f\x87\xb0\xf0\x9f\x87\xbc\xf0\x9f\x87\xb0\xf0\x9f\x87\xbe\xf0\x9f\x87\xb0\xf0\x9f\x87\xbf\xf0\x9f\x87\xb1\xf0\x9f\x87\xa6 out,[],,2
395,@latimes That could've paid for alotnof test for covid19 Glad she stayed true to her families m.o.,"[('latim', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('paid', 'VB'), ('alotnof', 'JJ'), ('test', 'NN'), ('covid', 'NN'), ('glad', 'JJ'), ('stay', 'NN'), ('true', 'JJ'), ('famili', 'NN')]",latim could pay alotnof test covid glad stay true famili,2
396,i\xe2\x80\x99m so tired of this coronavirus,"[('tire', 'NN'), ('coronaviru', 'NN')]",tire coronaviru,2
397,Good man! @GovEvers,"[('good', 'JJ'), ('govev', 'NN')]",good govev,2
398,I can\xe2\x80\x99t stand being on this planet anymore,"[('stand', 'NN'), ('planet', 'NN'), ('anymor', 'NN')]",stand planet anymor,2
399,Please let China beat us #americahasnoright,"[('pleas', 'NNS'), ('china', 'VBP'), ('beat', 'NN'), ('americahasnoright', 'NN')]",plea china beat americahasnoright,0
400,Oh for fucks sake,"[('fuck', 'NNS'), ('sake', 'VBP')]",fuck sake,2
401,FACTSSSS,"[('factssss', 'NN')]",fact,2
402,GOD IS LIKE YALL GONE LEARN,"[('like', 'IN'), ('yall', 'DT'), ('gone', 'VBN'), ('learn', 'NN')]",like yall go learn,2
403,Looks like Rutgers has lowered its standards for professors. NJ deserves better than this kind of hate!,"[('look', 'NN'), ('like', 'IN'), ('rutger', 'NN'), ('lower', 'RBR'), ('standard', 'NN'), ('professor', 'NN'), ('deserv', 'NN'), ('better', 'RBR'), ('kind', 'NN'), ('hate', 'NN')]",look like rutger lower standard professor deserv well kind hate,2
404,\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb THIS is IMPORTANT!! #ProtectYourself #ProtectYourSelfAndOthers,"[('thi', 'NN'), ('import', 'NN'), ('protectyourself', 'PRP'), ('protectyourselfandoth', 'VBP')]",thi import protectyourself protectyourselfandoth,0
405,https://t.co/eQNKrxArjA,"[('http', 'NN'), ('eqnkrxarja', 'NN')]",http eqnkrxarja,2
406,And cut the salary of all higher admin by 20-50%.  That\xe2\x80\x99s where the real $$ is,"[('salari', 'NN'), ('higher', 'JJR'), ('admin', 'NN'), ('that', 'IN'), ('real', 'JJ')]",salari high admin real,2
407,@chrisfdickson @carole84714333 @lmbuzzard @morningmika https://t.co/KWiiOSbT4x,"[('chrisfdickson', 'NN'), ('carol', 'NN'), ('lmbuzzard', 'NN'), ('morningmika', 'FW'), ('http', 'NN'), ('kwiiosbt', 'NN')]",chrisfdickson carol lmbuzzard morningmika http kwiiosbt,1
408,Despicable.,"[('despic', 'NN')]",despic,2
409,Great service by @southwestair The plane just stopped in the runway and returned to the gate. 7 people learned that their conference got cancelled due to the Corona virus and they're letting them leave. @ Hollywood\xe2\x80\xa6 https://t.co/4A5GFwKcuN,"[('great', 'JJ'), ('servic', 'JJ'), ('southwestair', 'NN'), ('plane', 'NN'), ('stop', 'VB'), ('runway', 'NN'), ('return', 'NN'), ('gate', 'NN'), ('peopl', 'NN'), ('learn', 'NN'), ('confer', 'VBP'), ('cancel', 'JJ'), ('corona', 'NN'), ('viru', 'NN'), ('let', 'NN'), ('leav', 'VB'), ('hollywood', 'NN'), ('http', 'NNS'), ('gfwkcun', 'VBP')]",great servic southwestair plane stop runway return gate peopl learn confer cancel corona viru let leav hollywood http gfwkcun,1
410,#COVID19 \xe4\xb8\xad\xe3\x81\xab\xe6\x97\xa5\xe6\x9c\xac\xe3\x81\xae\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x96\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xb3\xe3\x82\x92\xe4\xbf\x9d\xe5\xad\x98\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x9f\xe3\x82\x81\xe3\x81\xab\xe7\xbd\xb2\xe5\x90\x8d\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82#Sign to save the Japanese club / electronic music scene during #COVID19. #SaveOurSpace https://t.co/8tZ9szXub7,"[('covid', 'JJ'), ('sign', 'NN'), ('save', 'VBP'), ('japanes', 'NNS'), ('club', 'VBP'), ('electron', 'JJ'), ('music', 'NN'), ('scene', 'NN'), ('covid', 'VBP'), ('saveourspac', 'NN'), ('http', 'NN'), ('szxub', 'NN')]",covid sign save japanes club electron music scene covid saveourspac http szxub,0
411,@smc429 @MysterySolvent Stop drinking Corona beer!,"[('mysterysolv', 'NN'), ('stop', 'NN'), ('drink', 'NN'), ('corona', 'NNS'), ('beer', 'NN')]",mysterysolv stop drink corona beer,1
412,@realDonaldTrump read this thread dude and be a man not a worm!,"[('realdonaldtrump', 'NN'), ('read', 'VBN'), ('thread', 'JJ'), ('dude', 'NN'), ('worm', 'NN')]",realdonaldtrump read thread dude worm,0
413,China lied about the Corona virus  It there long before they said a;,"[('china', 'NNS'), ('lie', 'VBP'), ('corona', 'JJ'), ('viru', 'NN'), ('long', 'RB'), ('said', 'VBD')]",china lie corona viru long say,1
414,Please stay home if you don't have to go out. Please. And if you do have to go out please stay 6 ft away from everyone. https://t.co/P590VohdF3,"[('pleas', 'NNS'), ('stay', 'VBP'), ('home', 'RB'), ('pleas', 'NNS'), ('pleas', 'VBP'), ('stay', 'VB'), ('away', 'RB'), ('everyon', 'JJ'), ('http', 'NN'), ('vohdf', 'NN')]",plea stay home plea pleas stay away everyon http vohdf,2
415,We are so thoroughly screwed. https://t.co/vzGNQFgZP1 https://t.co/W6bZGQYI0o,"[('thoroughli', 'NN'), ('screw', 'VBD'), ('http', 'JJ'), ('vzgnqfgzp', 'NN'), ('http', 'NN'), ('bzgqyi', 'NN')]",thoroughli screw http vzgnqfgzp http bzgqyi,2
416,@Outlander_STARZ @STARZ Are there TWO new episodes available this weekend not just one? Seeing two available in my Starz app on Roku. A covid-19 gift since we\xe2\x80\x99re all staying at home??,"[('outland', 'NN'), ('starz', 'NN'), ('starz', 'NN'), ('episod', 'JJ'), ('avail', 'NN'), ('weekend', 'NN'), ('see', 'VBP'), ('avail', 'JJ'), ('starz', 'NN'), ('roku', 'NN'), ('covid', 'NN'), ('gift', 'NN'), ('sinc', 'NN'), ('stay', 'NN'), ('home', 'NN')]",outland starz starz episod avail weekend see avail starz roku covid gift sinc stay home,2
417,@bungeeegumm I need visuals !!!! I hate the coronavirus,"[('bungeeegumm', 'NNS'), ('need', 'VBP'), ('visual', 'JJ'), ('hate', 'NN'), ('coronaviru', 'NN')]",bungeeegumm need visual hate coronaviru,2
418,NPR: Trump Says He'll 'Temporarily Suspend Immigration' Over Coronavirus Fears. https://t.co/eETY4GncEh  via @GoogleNews,"[('trump', 'NNS'), ('say', 'VBP'), ('temporarili', 'JJ'), ('suspend', 'VBP'), ('immigr', 'NN'), ('over', 'IN'), ('coronaviru', 'JJ'), ('fear', 'JJ'), ('http', 'NN'), ('eeti', 'NN'), ('gnceh', 'NN'), ('googlenew', 'NN')]",trump say temporarili suspend immigr coronaviru fear http eeti gnceh googlenew,2
419,@Reuters Covid v19.5_final_final2.zip,"[('reuter', 'NN'), ('covid', 'VBZ'), ('final', 'JJ'), ('final', 'JJ')]",reuter covid final final,2
420,Exactly this!,"[('exactli', 'NN')]",exactli,2
421,If corona virus could keep bringing the house prices down that would  be great,"[('corona', 'NN'), ('viru', 'NN'), ('could', 'MD'), ('keep', 'VB'), ('bring', 'VBG'), ('hous', 'JJ'), ('price', 'NN'), ('would', 'MD'), ('great', 'JJ')]",corona viru could keep bring hous price would great,1
422,@mylanguagehub @MLH_CarinaBalbo Coronavirus made me do it: AGAIN! My Saturday class got more demand than I expected\xe2\x80\xa6 https://t.co/y7GvxYuFz6,"[('mylanguagehub', 'NN'), ('carinabalbo', 'NN'), ('coronaviru', 'NN'), ('made', 'VBD'), ('again', 'RB'), ('saturday', 'JJ'), ('class', 'NN'), ('demand', 'NN'), ('expect', 'VBP'), ('http', 'NN'), ('gvxyufz', 'NN')]",mylanguagehub carinabalbo coronaviru make saturday class demand expect http gvxyufz,1
423,They'll be brighter days \xf0\x9f\x8c\x9d\xf0\x9f\x8c\x9f . . . \xf0\x9f\x93\xb7 : @rubetube #wednesday #wednesdaywisdom #humpday #stayhome #quarantine #covid_19 #love #smile #inspiration #girl #joy #happy #bestoftheday #picoftheday #beauty #thankful\xe2\x80\xa6 https://t.co/M0t2dd83Ch,"[('they', 'PRP'), ('brighter', 'VBP'), ('day', 'NN'), ('rubetub', 'VB'), ('wednesday', 'JJ'), ('wednesdaywisdom', 'NN'), ('humpday', 'NN'), ('stayhom', 'VBD'), ('quarantin', 'JJ'), ('covid', 'NN'), ('love', 'NN'), ('smile', 'NN'), ('inspir', 'NN'), ('girl', 'NN'), ('happi', 'NN'), ('bestoftheday', 'NN'), ('picoftheday', 'JJ'), ('beauti', 'NN'), ('thank', 'NN'), ('http', 'NN')]",brighter day rubetub wednesday wednesdaywisdom humpday stayhom quarantin covid love smile inspir girl happi bestoftheday picoftheday beauti thank http,0
424,Great news - the first remdesivir #COVID19 data readout is close.,"[('great', 'JJ'), ('news', 'NN'), ('first', 'RB'), ('remdesivir', 'VBZ'), ('covid', 'NN'), ('data', 'NNS'), ('readout', 'NN'), ('close', 'RB')]",great news first remdesivir covid data readout close,1
425,Clearly I\xe2\x80\x99m stoked! Corona time foo! \xf0\x9f\x8d\xbb https://t.co/UERIagmY6y,"[('clearli', 'NN'), ('stoke', 'VBD'), ('corona', 'JJ'), ('time', 'NN'), ('http', 'NN'), ('ueriagmi', 'NN')]",clearli stoke corona time http ueriagmi,0
426,It\xe2\x80\x99s about control. It\xe2\x80\x99s sick.,"[('control', 'NN'), ('sick', 'NN')]",control sick,2
427,Nor SHOULD there be\xe2\x80\x94this bill should primarily help PEOPLE\xe2\x80\x94not corporations. It should primarily find hospitals\xe2\x80\x94not cruise ships. It needs massive independent expenditure oversight,"[('should', 'MD'), ('bill', 'NN'), ('primarili', 'VB'), ('help', 'NN'), ('peopl', 'VB'), ('corpor', 'JJ'), ('primarili', 'NN'), ('find', 'VBP'), ('hospit', 'JJ'), ('cruis', 'NN'), ('ship', 'NN'), ('need', 'VBP'), ('massiv', 'NNS'), ('independ', 'VB'), ('expenditur', 'NN'), ('oversight', 'NN')]",bill primarili help peopl corpor primarili find hospit cruis ship need massiv independ expenditur oversight,1
428,"What did we do ""COVID-19 updates for the US"" #covid19 https://t.co/iARZ4SBgy3","[('what', 'WP'), ('covid', 'VBZ'), ('updat', 'JJ'), ('covid', 'NN'), ('http', 'NN'), ('iarz', 'NN'), ('sbgi', 'NN')]",covid updat covid http iarz sbgi,2
429,Read this and share! #COVID19 #LosAngeles #StayHome #SocialDistanacing #WearAMask,"[('read', 'JJ'), ('share', 'NN'), ('covid', 'JJ'), ('losangel', 'NN'), ('stayhom', 'NN'), ('socialdistanac', 'NN'), ('wearamask', 'NN')]",read share covid losangel stayhom socialdistanac wearamask,0
430,@Peoples_Pundit @LarrySchweikart @SHEPMJS @hugecapet @FredrickBieder1 @lukelivingood There is no way #JoeBidenHasDementia can beat  @POTUS even with the destruction #coronavirus has done to the world... seriously #SleepyJoe is a disaster...,"[('peopl', 'NN'), ('pundit', 'NN'), ('larryschweikart', 'NN'), ('shepmj', 'NN'), ('hugecapet', 'NN'), ('fredrickbied', 'VBD'), ('lukelivingood', 'NN'), ('there', 'RB'), ('joebidenhasdementia', 'VBZ'), ('beat', 'NN'), ('potu', 'NNS'), ('even', 'RB'), ('destruct', 'VBP'), ('coronaviru', 'NN'), ('done', 'VBN'), ('world', 'NN'), ('serious', 'JJ'), ('sleepyjo', 'NN'), ('disast', 'NN')]",peopl pundit larryschweikart shepmj hugecapet fredrickbied lukelivingood joebidenhasdementia beat potu even destruct coronaviru do world serious sleepyjo disast,1
431,Deborah Linden's SavvyCard https://t.co/q4HLIGGNKY,"[('deborah', 'NN'), ('linden', 'VBZ'), ('savvycard', 'RB'), ('http', 'JJ'), ('hliggnki', 'NN')]",deborah linden savvycard http hliggnki,2
432,@neiltyson on the corona virus https://t.co/c6HmiMriVN,"[('neiltyson', 'JJ'), ('corona', 'NN'), ('viru', 'NN'), ('http', 'NN'), ('hmimrivn', 'NN')]",neiltyson corona viru http hmimrivn,2
433,so there are some Contagion heroes among us after all.,"[('contagion', 'NN'), ('hero', 'NN'), ('among', 'IN')]",contagion hero among,2
434,A spike in New Yorkers ingesting household cleaners following Trump\xe2\x80\x99s controversial coronavirus comments https://t.co/x4mmBQ0iPf WORDS m,"[('spike', 'NN'), ('yorker', 'NN'), ('ingest', 'JJS'), ('household', 'NN'), ('cleaner', 'NN'), ('follow', 'JJ'), ('trump', 'NN'), ('controversi', 'NN'), ('coronaviru', 'JJ'), ('comment', 'NN'), ('http', 'NN'), ('mmbq', 'NN'), ('word', 'NN')]",spike yorker ingest household cleaner follow trump controversi coronaviru comment http mmbq word,1
435,Thoughts? San Francisco :: Here is the latest list of L.A. County communities with coronavirus cases: Coronavirus: Here is the latest list of L.A. County communities with confirmed cases https://t.co/Wb0NjMhk7H,"[('thought', 'VBN'), ('francisco', 'RB'), ('here', 'RB'), ('latest', 'JJS'), ('list', 'NN'), ('counti', 'NN'), ('commun', 'NN'), ('coronaviru', 'NN'), ('case', 'NN'), ('coronaviru', 'NN'), ('here', 'RB'), ('latest', 'JJS'), ('list', 'NN'), ('counti', 'NN'), ('commun', 'NN'), ('confirm', 'NN'), ('case', 'NN'), ('http', 'NN'), ('njmhk', 'NN')]",think francisco late list counti commun coronaviru case coronaviru late list counti commun confirm case http njmhk,1
436,They're right on target with Trump,"[('they', 'PRP'), ('right', 'RB'), ('target', 'VBP'), ('trump', 'VB')]",right target trump,2
437,Also IK there's bigger things going on but I'm allowed to be sad.,"[('also', 'RB'), ('bigger', 'JJR'), ('thing', 'NN'), ('go', 'VBP'), ('allow', 'VB')]",also big thing go allow,2
438,Funny how you have to have a fever in order to be allowed a test though.,"[('funni', 'NN'), ('fever', 'NN'), ('order', 'NN'), ('allow', 'JJ'), ('test', 'NN'), ('though', 'IN')]",funni fever order allow test though,2
439,@Claire___R @evan1c @JoeBiden We shall see. I was convinced Trump would lose in 2016. It is very marginal victory. There are only a few states that really determine the election with the electoral college. 45 has been poorly dealing with many of those states with COVID19 response.,"[('clair', 'NN'), ('evan', 'NN'), ('joebiden', 'NN'), ('shall', 'MD'), ('convinc', 'VB'), ('trump', 'NN'), ('would', 'MD'), ('lose', 'VB'), ('margin', 'NN'), ('victori', 'NN'), ('there', 'RB'), ('state', 'NN'), ('realli', 'NN'), ('determin', 'NN'), ('elect', 'VBP'), ('elector', 'NN'), ('colleg', 'NN'), ('poorli', 'NN'), ('deal', 'NN'), ('mani', 'NN'), ('state', 'NN'), ('covid', 'NN'), ('respons', 'NNS')]",clair evan joebiden shall convinc trump would lose margin victori state realli determin elect elector colleg poorli deal mani state covid respons,0
440,So my sister couldn\xe2\x80\x99t go to the wash house because she not gone let her baby get corona I\xe2\x80\x99m fucking dead but u go s\xe2\x80\xa6 https://t.co/Qt1VStbexO,"[('sister', 'NN'), ('wash', 'VBP'), ('hous', 'JJ'), ('gone', 'VBN'), ('babi', 'JJ'), ('corona', 'JJ'), ('fuck', 'VBN'), ('dead', 'JJ'), ('http', 'NN'), ('vstbexo', 'NN')]",sister wash hous go babi corona fuck dead http vstbexo,1
441,This Corona Virus thing better not show up on La Rosa de Guadalupe or my mom won\xe2\x80\x99t let me go out anymore. \xf0\x9f\x98\x92,"[('thi', 'NN'), ('corona', 'NN'), ('viru', 'JJ'), ('thing', 'NN'), ('better', 'RBR'), ('show', 'NN'), ('rosa', 'JJ'), ('guadalup', 'NN'), ('anymor', 'NN')]",thi corona viru thing well show rosa guadalup anymor,2
442,Well worth attending!,"[('well', 'RB'), ('worth', 'JJ'), ('attend', 'VBP')]",well worth attend,2
443,&amp; the revolution begins!,"[('revolut', 'NN'), ('begin', 'NN')]",revolut begin,0
444,Even my corona stocks are in a free fall. I\xe2\x80\x99m trying to sell while i can still make a profit.,"[('even', 'RB'), ('corona', 'JJ'), ('stock', 'NN'), ('free', 'JJ'), ('fall', 'NN'), ('tri', 'NN'), ('sell', 'NN'), ('still', 'RB'), ('make', 'VB'), ('profit', 'NN')]",even corona stock free fall tri sell still make profit,0
445,Nooo don\xe2\x80\x99t get corona virus your so sexy aha,"[('nooo', 'JJ'), ('corona', 'NN'), ('viru', 'NN'), ('sexi', 'NN')]",nooo corona viru sexi,0
446,Do you have questions or concerns about your #healthcare rights during the #COVID\xe3\x83\xbc19 crisis?   Please let us know i\xe2\x80\xa6 https://t.co/r2FvJJgZOw,"[('question', 'NN'), ('concern', 'NN'), ('healthcar', 'NN'), ('right', 'RB'), ('covid', 'JJ'), ('crisi', 'NN'), ('pleas', 'NNS'), ('know', 'VBP'), ('http', 'NN'), ('fvjjgzow', 'NN')]",question concern healthcar right covid crisi plea know http fvjjgzow,0
447,@ABC Corona Virue cases here...,"[('corona', 'NN'), ('viru', 'NN'), ('case', 'NN')]",corona viru case,2
448,medRxiv has been a game changer during the pandemic and the team behind it has gone through an incredible couple of weeks to meet growing demand for rapid communication. \xf0\x9f\x99\x8f,"[('medrxiv', 'JJ'), ('game', 'NN'), ('changer', 'NN'), ('pandem', 'NN'), ('team', 'NN'), ('behind', 'IN'), ('gone', 'VBN'), ('incred', 'JJ'), ('coupl', 'NN'), ('week', 'NN'), ('meet', 'NN'), ('grow', 'JJ'), ('demand', 'NN'), ('rapid', 'JJ'), ('commun', 'NN')]",medrxiv game changer pandem team behind go incred coupl week meet grow demand rapid commun,1
449,@SpeakerPelosi  @tedlieu  @SenateDems  @WestPoint_USMA  @USArmy,"[('speakerpelosi', 'NN'), ('tedlieu', 'NN'), ('senatedem', 'NN'), ('westpoint', 'NN'), ('usma', 'JJ'), ('usarmi', 'NN')]",speakerpelosi tedlieu senatedem westpoint usma usarmi,0
450,Destroy the middle  class is what they are gonna do Nancy Pelosi: Guaranteed income for Americans 'worthy of attention' - Business Insider https://t.co/6YhgCGRpav,"[('destroy', 'NN'), ('middl', 'NN'), ('class', 'NN'), ('nanci', 'NN'), ('pelosi', 'NN'), ('guarante', 'NN'), ('incom', 'JJ'), ('american', 'JJ'), ('worthi', 'NN'), ('attent', 'NN'), ('busi', 'NN'), ('insid', 'NN'), ('http', 'NN'), ('yhgcgrpav', 'NN')]",destroy middl class nanci pelosi guarante incom american worthi attent busi insid http yhgcgrpav,2
